TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-15,2024-10-15,CM,BSE,STK,540795,INE600Y01019,DYCL,B,,,,,Dynamic Cables Limited,525.00,558.30,525.00,555.60,555.90,553.95,,554.80,,,1045,577068.00,188,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540796,INE821Y01011,RATNABHUMI,B,,,,,Ratnabhumi Developers Limited,128.75,128.75,128.75,128.75,128.75,135.00,,128.75,,,4,515.00,1,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540797,INE597J01018,SHALBY,B,,,,,Shalby Limited,265.00,265.00,254.60,258.20,259.20,259.15,,257.80,,,7882,2036824.00,384,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540798,INE935Q01015,FSC,Z,,,,,Future Supply Chain Solutions,2.10,2.16,2.00,2.04,2.04,2.10,,2.03,,,262508,528749.00,259,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540809,INE333Y01017,MRCAGRO,B,,,,,MRC AGROTECH LIMITED,18.05,18.40,17.55,18.28,18.30,18.05,,18.28,,,214267,3883283.00,622,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540821,INE994R01028,SADHNA,XT,,,,,SADHNA BROADCAST LTD,3.32,3.33,3.17,3.24,3.30,3.33,,3.24,,,226711,728211.00,328,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540824,INE646X01014,ASTRON,B,,,,,Astron Paper & Board Mill Limi,21.97,22.37,21.15,21.31,21.58,21.94,,21.35,,,9700,209181.00,195,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540829,INE371F01016,CHANDRIMA,XT,,,,,Chandrima Mercantiles limited,45.19,45.19,45.19,45.19,45.19,44.31,,45.19,,,6723,303812.00,16,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540850,INE841Y01019,JFL,MT,,,,,Jhandewalas Foods Limited,90.10,90.10,90.10,90.10,90.10,90.53,,90.10,,,2000,180200.00,1,F1,2000,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540874,INE454F01010,7SEASL,X,,,,,7SEAS ENTERTAINMENT LIMITED,72.89,72.89,70.05,71.23,72.00,71.52,,71.23,,,4196,299872.00,36,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540879,INE713T01028,APOLLO,B,,,,,Apollo Micro Systems Limited,100.90,101.30,99.65,99.85,100.15,99.90,,99.90,,,56104,5623093.00,939,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540900,INE619B01017,NEWGEN,A,,,,,Newgen Software Technologies L,1378.95,1395.00,1242.00,1298.45,1298.45,1351.90,,1296.10,,,216190,283904386.00,14803,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540901,INE546Y01022,PRAXIS,T,,,,,Praxis Home Retail Limited,25.88,25.88,25.85,25.85,25.85,25.38,,25.85,,,147950,3828201.00,48,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540902,INE371P01015,AMBER,A,,,,,Amber Enterprises India Limite,5156.05,5217.20,5054.05,5163.95,5167.85,5143.70,,5166.75,,,4251,21799947.00,884,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540903,INE422M01013,CRPRISK,M,,,,,CRP Risk Management Limited,11.33,11.55,11.33,11.55,11.55,11.00,,11.55,,,20000,229220.00,8,F1,2000,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540904,INE115G01015,TIRUFOAM,X,,,,,TIRUPATI FOAM LIMITED,117.30,117.30,117.30,117.30,117.30,123.45,,117.30,,,7,821.00,1,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540914,INE425C01017,SRUSTEELS,X,,,,,SRU Steels Limited,8.25,8.90,7.93,8.82,8.82,8.11,,8.82,,,3933657,33742858.00,1681,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540923,INE760Y01011,ASHOKAMET,B,,,,,Ashoka Metcast Limited,33.31,35.34,29.61,32.30,32.30,32.13,,32.32,,,1511086,50137259.00,8203,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540935,INE600K01018,GALAXYSURF,A,,,,,Galaxy Surfactants Limited,2930.00,3133.00,2929.60,3102.85,3098.50,2909.90,,3112.70,,,1888,5761386.00,508,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540936,INE063Z01017,GGL,B,,,,,Gautam Gems Limited,8.11,8.15,7.86,8.09,8.12,8.00,,8.09,,,393176,3170882.00,397,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540937,INE630Y01024,MEDICO,T,,,,,MEDICO REMEDIES LIMITED,49.02,51.50,49.02,50.40,49.50,50.02,,49.51,,,3843,193277.00,31,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540938,INE578V01013,GUJHYSPIN,M,,,,,Gujarat Hy-Spin Limited,15.00,15.00,15.00,15.00,15.00,15.00,,15.00,,,70000,1050000.00,3,F1,10000,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540952,INE740X01023,LAL,T,,,,,LORENZINI APPARELS LIMITED,27.50,28.00,26.60,26.70,26.60,27.00,,26.63,,,16081,430729.00,39,F1,1,,,,,
